omega,samples,displacement_xz_m,max_speed_xz_mps,max_abs_wy_rps,fig_count,telemetry_csv,run_dir
5.0,4001,0.184394,1.304094,17.051327,3,flipo_omega5.0_run01_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.0
5.1,4001,0.187446,1.326430,17.229008,3,flipo_omega5.1_run02_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.1
5.2,4001,0.187116,1.336882,17.112327,3,flipo_omega5.2_run03_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.2
5.3,4001,0.187575,1.354568,17.452975,3,flipo_omega5.3_run04_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.3
5.4,4001,0.188018,1.369144,17.432623,3,flipo_omega5.4_run05_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.4
5.5,4001,0.180646,1.371400,17.523057,3,flipo_omega5.5_run06_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.5
5.6,4001,0.190444,1.384911,17.474693,3,flipo_omega5.6_run07_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.6
5.7,4001,0.185619,1.395908,17.749027,3,flipo_omega5.7_run08_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.7
5.8,4001,0.189492,1.433836,17.884023,3,flipo_omega5.8_run09_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.8
5.9,4001,0.190242,1.424492,17.960687,3,flipo_omega5.9_run10_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega5.0-7.0_20260411_142143\run_omega5.9
