source_csv,rank,source_segment_index,delta_theta_deg,turns,delta_source,frame_start,frame_end,duration_s,rows,cleaned_csv_path,segment_plot_path,summary_plot_path
Pink_D15_T166_raw_data.csv,1,14,544.1850000000004,1.511625000000001,theta_unwrapped,17835,19075,5.16628192391903,1241,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_01.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_01_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
Pink_D15_T166_raw_data.csv,2,8,535.6009999999997,1.4877805555555546,theta_unwrapped,10286,10682,1.6498771305418884,397,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_02.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_02_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
Pink_D15_T166_raw_data.csv,3,9,530.4560000000001,1.4734888888888893,theta_unwrapped,11444,11949,2.104009977079926,506,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_03.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_03_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
Pink_D15_T166_raw_data.csv,4,3,526.4299999999998,1.462305555555555,theta_unwrapped,5422,6058,2.6498026642036336,637,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_04.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_04_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
Pink_D15_T166_raw_data.csv,5,4,525.9639999999999,1.461011111111111,theta_unwrapped,6457,7077,2.5831409619595185,621,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_05.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_05_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
Pink_D15_T166_raw_data.csv,6,20,518.4980000000014,1.4402722222222262,theta_unwrapped,30250,32479,9.28680839388349,2230,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_06.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_06_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
Pink_D15_T166_raw_data.csv,7,7,360.39699999999993,1.0011027777777777,theta_unwrapped,9472,9927,1.895692157567062,456,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_07.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_07_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
Pink_D15_T166_raw_data.csv,8,2,358.0690000000001,0.9946361111111113,theta_unwrapped,3956,4361,1.6873743380542017,406,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_08.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_08_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
Pink_D15_T166_raw_data.csv,9,19,353.95600000000013,0.9832111111111115,theta_unwrapped,28075,28907,3.4664085166940595,833,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_09.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_09_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
Pink_D15_T166_raw_data.csv,10,6,352.2350000000001,0.9784305555555559,theta_unwrapped,8546,8819,1.13741529454024,274,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D15_T166_raw_data_cleaned_segment_10.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segment_10_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D15_T166_raw_data_segments_summary.png
