source_csv,rank,source_segment_index,delta_theta_deg,turns,delta_source,frame_start,frame_end,duration_s,rows,cleaned_csv_path,segment_plot_path,summary_plot_path
Pink_D60_T166_raw_data.csv,1,10,705.4110000000001,1.959475,theta_unwrapped,20410,21075,2.7706181599986905,666,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_01.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_01_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,2,11,532.2490000000007,1.4784694444444464,theta_unwrapped,21737,22425,2.8664440512467593,689,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_02.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_02_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,3,8,528.2440000000001,1.4673444444444448,theta_unwrapped,17856,18090,0.9749242848717188,235,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_03.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_03_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,4,5,465.47800000000007,1.2929944444444446,theta_unwrapped,9069,9277,0.866599364330412,209,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_04.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_04_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,5,14,362.72599999999966,1.0075722222222212,theta_unwrapped,24714,24975,1.0874155485107764,262,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_05.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_05_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,6,7,353.66499999999996,0.9824027777777776,theta_unwrapped,14719,15277,2.3248194485402465,559,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_06.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_06_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,7,4,349.095,0.9697083333333334,theta_unwrapped,8092,8645,2.3039877330515424,554,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_07.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_07_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,8,1,287.845,0.7995694444444446,theta_unwrapped,4764,4868,0.4332996821652131,105,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_08.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_08_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,9,9,148.0039999999999,0.41112222222222194,theta_unwrapped,18929,19271,1.4248893394279065,343,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_09.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_09_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,10,3,131.22399999999993,0.3645111111111109,theta_unwrapped,7356,7705,1.4540537411120944,350,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_10.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_10_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
Pink_D60_T166_raw_data.csv,11,13,116.5649999999996,0.32379166666666553,theta_unwrapped,23953,24140,0.7791061592778306,188,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\01_Data\Processed\Pink_D60_T166_raw_data_cleaned_segment_11.csv,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segment_11_trajectory.png,D:\HIT\CUPT\Flipo_Flip\Vedio_Analysis\03_Results\Plots\Pink_D60_T166_raw_data_segments_summary.png
