frame_index,timestamp,x,y,theta,x_mm,y_mm,theta_unwrapped,omega_rad_s
0,0.0,756.0,540.0,,132.834524374848,94.88180312489142,0.0,0.0
1,0.004166317202547881,756.5,539.0,,132.92237789625992,94.70609608206755,0.0,0.0
2,0.008332634405095763,758.0,534.0,,133.18593846049575,93.82756086794818,0.0,0.0
3,0.012498951607643643,758.0,536.5,,133.18593846049575,94.26682847500787,0.0,0.0
4,0.016665268810191525,758.5,535.0,,133.27379198190766,94.00326791077205,0.0,0.0
5,0.020831586012739406,756.9499999999999,532.8499999999999,0.0,133.00144606553067,93.62549776870071,0.0,0.0
6,0.024997903215287286,759.5,533.0,,133.44949902473155,93.6518538251243,0.0,0.0
7,0.02916422041783517,760.0,533.0,,133.5373525461435,93.6518538251243,0.0,0.0
8,0.03333053762038305,760.5,530.5,,133.6252060675554,93.21258621806463,0.0,0.0
9,0.037496854822930935,761.0,531.5,,133.71305958896735,93.3882932608885,0.0,0.0
10,0.04166317202547881,759.9,532.35,0.0,133.5197818418611,93.5376442472888,0.0,0.0
11,0.045829489228026696,762.0,536.5,,133.88876663179124,94.26682847500787,0.0,0.0
12,0.04999580643057457,763.5,531.5,,134.15232719602704,93.3882932608885,0.0,0.0
13,0.05416212363312246,764.0,533.5,,134.240180717439,93.73970734653625,0.0,0.0
14,0.05832844083567034,765.0,524.5,,134.41588776026285,92.15834396112139,0.0,0.0
15,0.06249475803821822,766.0,526.0,,134.59159480308674,92.4219045253572,0.0,0.0
16,0.0666610752407661,764.5999999999999,529.85,0.0,134.34560494313328,93.09837664022912,0.0,0.0
17,0.07082739244331399,764.5999999999999,527.8499999999999,0.0,134.34560494313328,92.74696255458134,0.0,0.0
18,0.07499370964586187,768.5,528.0,,135.0308624101464,92.77331861100495,0.0,0.0
19,0.07916002684840974,769.0,526.0,,135.11871593155834,92.4219045253572,0.0,0.0
20,0.08332634405095762,770.5,530.0,,135.38227649579414,93.1247326966527,0.0,0.0
21,0.08749266125350551,770.5,525.0,,135.38227649579414,92.24619748253333,0.0,0.0
22,0.09165897845605339,772.0,526.0,,135.64583706002995,92.4219045253572,0.0,0.0
23,0.09582529565860128,773.0,522.0,,135.82154410285384,91.71907635406171,0.0,0.0
24,0.09999161286114915,774.0,527.0,,135.9972511456777,92.59761156818108,0.0,0.0
25,0.10415793006369703,772.25,526.8499999999999,0.0,135.68976382073592,92.57125551175747,0.0,0.0
26,0.10832424726624491,776.0,526.0,,136.34866523132544,92.4219045253572,0.0,0.0
27,0.1124905644687928,773.8999999999999,528.8499999999999,0.0,135.9796804413953,92.92266959740522,0.0,0.0
28,0.11665688167134068,774.9,528.35,0.0,136.15538748421918,92.8348160759933,0.0,0.0
29,0.12082319887388855,775.8999999999999,527.8499999999999,0.0,136.33109452704304,92.74696255458134,0.0,0.0
30,0.12498951607643644,777.3,526.3499999999999,0.0,136.5770843869965,92.48340199034554,0.0,0.0
31,0.12915583327898433,778.5999999999999,522.8499999999999,0.0,136.8055035426675,91.86842734046199,0.0,0.0
32,0.1333221504815322,778.2499999999999,525.85,0.0,136.74400607767916,92.39554846893363,0.0,0.0
33,0.13748846768408007,782.0,526.0,,137.40290748826868,92.4219045253572,0.0,0.0
34,0.14165478488662797,780.9499999999999,526.3499999999999,0.0,137.2184150933036,92.48340199034554,0.0,0.0
35,0.14582110208917584,784.5,523.0,,137.84217509532837,91.89478339688559,0.0,0.0
36,0.14998741929172374,785.5,521.5,,138.01788213815226,91.63122283264977,0.0,0.0
37,0.1541537364942716,783.65,526.3499999999999,0.0,137.69282410892808,92.48340199034554,0.0,0.0
38,0.15832005369681948,787.0,529.0,,138.28144270238806,92.94902565382883,0.0,0.0
39,0.16248637089936738,788.0,527.0,,138.45714974521192,92.59761156818108,0.0,0.0
40,0.16665268810191525,802.0,522.0,,140.91704834474615,91.71907635406171,0.0,0.0
41,0.17081900530446315,802.0,524.0,,140.91704834474615,92.07049043970946,0.0,0.0
42,0.17498532250701102,796.9,539.85,0.0,140.0209424263444,94.85544706846784,0.0,0.0
43,0.17915163970955889,796.9,539.85,0.0,140.0209424263444,94.85544706846784,0.0,-0.23393237757246285
44,0.18331795691210678,802.0,521.0,,140.91704834474615,91.54336931123784,-0.112,-0.46786475514492887
45,0.18748427411465465,801.0,525.5,,140.7413413019223,92.33405100394526,-0.223,-0.46786475514492876
46,0.19165059131720255,801.0,524.0,,140.7413413019223,92.07049043970946,-0.335,-0.4678647551449289
47,0.19581690851975042,801.0,524.0,,140.7413413019223,92.07049043970946,-0.447,-0.46786475514493053
48,0.1999832257222983,802.0,521.5,,140.91704834474615,91.63122283264977,-0.558,-0.46786475514492865
49,0.2041495429248462,802.0,521.0,,140.91704834474615,91.54336931123784,-0.67,-0.4678647551449291
50,0.20831586012739406,802.0,517.5,,140.91704834474615,90.92839466135428,-0.782,-0.46786475514492865
51,0.21248217732994196,801.5,518.0,,140.8291948233342,91.01624818276622,-0.893,-0.46786475514492887
52,0.21664849453248983,801.0,518.5,,140.7413413019223,91.10410170417815,-1.005,-0.46786475514493064
53,0.2208148117350377,801.0,523.0,,140.7413413019223,91.89478339688559,-1.117,-0.4678647551449293
54,0.2249811289375856,800.5,520.5,,140.65348778051035,91.4555157898259,-1.229,-0.46786475514492887
55,0.22914744614013347,800.0,521.0,,140.5656342590984,91.54336931123784,-1.34,-0.4678647551449284
56,0.23331376334268136,798.5,525.0,,140.3020736948626,92.24619748253333,-1.452,-0.46786475514492976
